,code,Sex,Treatment,Bacteria,type,exp,cfuA,cfuL,total,stg,GT,SortOrder,repexp,Side
140,NA CH 329 diet A L,NA,CH,Acetobacter,diet,A,31800,75,31875,NACH,NACH,329,NA CH 329 diet A L,L
141,NA CH 331 diet A L,NA,CH,Acetobacter,diet,A,9540,225,9765,NACH,NACH,331,NA CH 331 diet A L,L
142,NA CH 335 diet A A,NA,CH,Acetobacter,diet,A,9540,125,9665,NACH,NACH,335,NA CH 335 diet A A,A
143,NA CH 343 diet A L,NA,CH,Acetobacter,diet,A,31800,125,31925,NACH,NACH,343,NA CH 343 diet A L,L
144,NA CH 345 diet A A,NA,CH,Acetobacter,diet,A,2238720,25,2238745,NACH,NACH,345,NA CH 345 diet A A,A
145,NA CH 350 diet A L,NA,CH,Acetobacter,diet,A,9540,50,9590,NACH,NACH,350,NA CH 350 diet A L,L
146,NA CH 352 diet A L,NA,CH,Acetobacter,diet,A,6360,100,6460,NACH,NACH,352,NA CH 352 diet A L,L
147,NA CH 356 diet A A,NA,CH,Acetobacter,diet,A,92220,25,92245,NACH,NACH,356,NA CH 356 diet A A,A
148,NA CH 360 diet A A,NA,CH,Acetobacter,diet,A,120840,100,120940,NACH,NACH,360,NA CH 360 diet A A,A
149,NA CH 362 diet A L,NA,CH,Acetobacter,diet,A,6360,50,6410,NACH,NACH,362,NA CH 362 diet A L,L
150,NA CH 364 diet A L,NA,CH,Acetobacter,diet,A,6360,300,6660,NACH,NACH,364,NA CH 364 diet A L,L
151,NA CH 366 diet A L,NA,CH,Acetobacter,diet,A,9540,100,9640,NACH,NACH,366,NA CH 366 diet A L,L
