vial,treatment,sex,replicate,exp,vialnum,variable,event,experiment,vial_rep
CH M 2_2,CH,M,2_2,2,2,0.8,1,expB,CH_2_2
CH M 2_2,CH,M,2_2,2,2,0.8,1,expB,CH_2_2
CH M 2_2,CH,M,2_2,2,2,0.8,1,expB,CH_2_2
CH M 2_2,CH,M,2_2,2,2,0.8,1,expB,CH_2_2
CH M 2_3,CH,M,2_3,2,3,0.8,1,expB,CH_2_3
CH M 2_3,CH,M,2_3,2,3,0.8,1,expB,CH_2_3
CH M 2_3,CH,M,2_3,2,3,0.8,1,expB,CH_2_3
CH M 2_4,CH,M,2_4,2,4,0.8,1,expB,CH_2_4
CH M 2_4,CH,M,2_4,2,4,0.8,1,expB,CH_2_4
CH M 2_4,CH,M,2_4,2,4,0.8,1,expB,CH_2_4
CH M 2_5,CH,M,2_5,2,5,0.8,1,expB,CH_2_5
CH M 2_5,CH,M,2_5,2,5,0.8,1,expB,CH_2_5
CH M 2_5,CH,M,2_5,2,5,0.8,1,expB,CH_2_5
CH M 2_5,CH,M,2_5,2,5,0.8,1,expB,CH_2_5
CH M 2_5,CH,M,2_5,2,5,0.8,1,expB,CH_2_5
CH M 2_6,CH,M,2_6,2,6,0.8,1,expB,CH_2_6
CH M 2_6,CH,M,2_6,2,6,0.8,1,expB,CH_2_6
CH M 2_7,CH,M,2_7,2,7,0.8,1,expB,CH_2_7
CH M 2_7,CH,M,2_7,2,7,0.8,1,expB,CH_2_7
CH M 2_7,CH,M,2_7,2,7,0.8,1,expB,CH_2_7
CH M 2_7,CH,M,2_7,2,7,0.8,1,expB,CH_2_7
CH M 2_8,CH,M,2_8,2,8,0.8,1,expB,CH_2_8
CH M 2_9,CH,M,2_9,2,9,0.8,1,expB,CH_2_9
CH M 2_9,CH,M,2_9,2,9,0.8,1,expB,CH_2_9
CH M 2_9,CH,M,2_9,2,9,0.8,1,expB,CH_2_9
CH M 2_9,CH,M,2_9,2,9,0.8,1,expB,CH_2_9
