Position,code,Geography,Humidity,vialnum,Sex,PLATE,cfuA,cfuL,starved,exp,repexp,latitude,percL
A5,PA-Q-2-F,PA,A,2,F,plate3,9600,11200,N,A,PA-Q-2-FA,3,0.538461538
A6,M-C-4-F,M,C,4,F,plate3,16000,14400,N,A,M-C-4-FA,2,0.473684211
A7,M-C-3-F,M,C,3,F,plate3,17600,12800,N,A,M-C-3-FA,2,0.421052632
B1,V-B-2-F,V,B,2,F,plate3,217600,307200,N,A,V-B-2-FA,1,0.585365854
B2,L-C-2-F,L,C,2,F,plate3,14400,17600,N,A,L-C-2-FA,4,0.55
B3,H-B-1-F,H,B,1,F,plate3,4800,16000,N,A,H-B-1-FA,5,0.769230769
B4,H-B-3-F,H,B,3,F,plate3,4800,16000,N,A,H-B-3-FA,5,0.769230769
B5,PA-Q-2-F,PA,A,2,F,plate3,8000,16000,N,A,PA-Q-2-FA,3,0.666666667
B6,M-C-4-F,M,C,4,F,plate3,9600,1600,N,A,M-C-4-FA,2,0.142857143
B7,M-C-3-F,M,C,3,F,plate3,25600,16000,N,A,M-C-3-FA,2,0.384615385
C1,L-C-1-M,L,C,1,M,plate3,1600,11200,N,A,L-C-1-MA,4,0.875
C2,L-C-3-M,L,C,3,M,plate3,8000,22400,N,A,L-C-3-MA,4,0.736842105
C3,H-B-2-M,H,B,2,M,plate3,22400,11200,N,A,H-B-2-MA,5,0.333333333
C4,PA-Q-1-M,PA,A,1,M,plate3,1600,14400,N,A,PA-Q-1-MA,3,0.9
C5,PA-Q-3-M,PA,A,3,M,plate3,11200,25600,N,A,PA-Q-3-MA,3,0.695652174
C6,M-C-2-M,M,C,2,M,plate3,0,3200,N,A,M-C-2-MA,2,1
D1,L-C-1-M,L,C,1,M,plate3,1600,3200,N,A,L-C-1-MA,4,0.666666667
D2,L-C-3-M,L,C,3,M,plate3,6400,9600,N,A,L-C-3-MA,4,0.6
D3,H-B-2-M,H,B,2,M,plate3,3200,17600,N,A,H-B-2-MA,5,0.846153846
D4,PA-Q-1-M,PA,A,1,M,plate3,1600,19200,N,A,PA-Q-1-MA,3,0.923076923
D5,PA-Q-3-M,PA,A,3,M,plate3,3200,8000,N,A,PA-Q-3-MA,3,0.714285714
D6,M-C-2-M,M,C,2,M,plate3,14400,4800,N,A,M-C-2-MA,2,0.25
E1,L-C-1-F,L,C,1,F,plate3,3200,9600,N,A,L-C-1-FA,4,0.75
E2,L-C-3-F,L,C,3,F,plate3,1600,6400,N,A,L-C-3-FA,4,0.8
E3,H-B-2-F,H,B,2,F,plate3,3200,9600,N,A,H-B-2-FA,5,0.75
E4,PA-Q-1-F,PA,A,1,F,plate3,3200,6400,N,A,PA-Q-1-FA,3,0.666666667
E5,PA-Q-3-F,PA,A,3,F,plate3,25600,9600,N,A,PA-Q-3-FA,3,0.272727273
E6,M-C-2-F,M,C,2,F,plate3,14400,12800,N,A,M-C-2-FA,2,0.470588235
F1,L-C-1-F,L,C,1,F,plate3,1600,14400,N,A,L-C-1-FA,4,0.9
F2,L-C-3-F,L,C,3,F,plate3,12800,8000,N,A,L-C-3-FA,4,0.384615385
F3,H-B-2-F,H,B,2,F,plate3,12800,9600,N,A,H-B-2-FA,5,0.428571429
